Paper ID|Type|Authors|Title
104|1 - Poster|Yanping Huang, Rajesh Rao|The effects of prior, rewards and sensory evidence in perceptual decision making
105|1 - Poster|Simone Carlo Surace, Jean-Pascal Pfister|Adaptive Gaussian Poisson process: a model for in vivo neuronal dynamics
106|1 - Poster|Su Hong, Haram Kim, Sora Yun, Christopher Fiorillo|T-type Calcium Channels Promote Predictive Homeostasis in Thalamocortical Neurons of LGN
107|1 - Poster|Nandakumar Narayanan, James Cavanagh, Marcelo Caetano, Michael Frank, Mark Laubach|Common neural correlates of adaptive control in the anterior cingulate cortex of rats and humans
108|1 - Poster|Jakob Macke, Iain Murray, Peter Latham|How biased are maximum entropy models of neural population activity?
109|1 - Poster|Ben Vermaercke, Gert Van den Bergh, Florian Gerich, Hans P. Op de Beeck|Hierarchical shape processing and position tolerance in rat lateral visual cortex
111|1 - Poster|Stuart Yarrow, Khaleel Razak, Aaron Seitz, Peggy Series|Detecting and quantifying topographic order in neural maps
113|1 - Poster|Rafi Haddad, Anne Lanjuin, Naoshige  Uchida|OLFATORY CORTICAL NEURONS READ OUT A RELATIVE TIME CODE IN THE OLFACTORY BULB
117|1 - Poster|Ritwik Niyogi, Yannick  Breton, Rebecca Solomon, Kent Conover, Peter Shizgal, Peter Dayan|Some work and some play: a normative, microscopic approach to allocating time between work & leisure
119|1 - Poster|DJ Strouse, Balazs Ujfalussy, Mate Lengyel|Dendritic subunits: the crucial role of input statistics and a lack of two-layer behavior
120|1 - Poster|David Barrett, Sophie Deneve, Christian Machens|Quadratic programming of tuning curves: from spiking dynamics to function 
122|1 - Poster|Bingxing Huo, Yurong Gao, Patrick Drew|Hemodynamic responses in the somatosensory cortex during locomotion
123|1 - Poster|Akihiro Funamizu, Makoto Ito, Kenji Doya, Ryohei Kanzaki, Hirokazu Takahashi|Value-updating interaction among contexts in choice behaviors of rats
124|1 - Poster|Rong Guo, Michael Tobia, Wendelin B?hmer, Tobias Sommer, Christian B?chel, Klaus Obermayer|The neural correlates of counterfactual-Q-learning in a  strategic sequential investment task 
125|1 - Poster|Scott Linderman, Ryan Adams|Inferring functional connectivity with priors on network topology
127|1 - Poster|Flavio Frohlich, Kristin Sellers, Davis Bennett|Anesthesia amplifies visual responses by suppressing cortical state dynamics
129|1 - Poster|Anne Collins, Michael Frank|A model of interactive effects of learning and choice incentive in the striatal dopamine system
130|1 - Poster|Laurence Aitchison, Peter Latham|The synaptic sampling hypothesis
131|1 - Poster|Christopher Henry, Michael Hawken|Modulatory signals from V1 extra-classical receptive fields with distinct spatio-temporal dynamics
134|1 - Poster|Tilman Kispersky, Eve Marder|Compensation for neuronal circuit variability
